Chemical formula,Synonyms,CAS number
As2Se,arsenic hemiselenide,1303–35–1
As2Se3,arsenic triselenide,1303–36–2
As2Se5,arsenic pentaselenide,1303–37–3
As3O4,arsenic tetraoxide,83527–53–1
As3P,arsenic(III) phosphide,12512–11–7
As4O3,tetraarsenic trioxide,83527–54–2
As4O5,tetraarsenic pentaoxide,83527–55–3
As4S3,dimorphite,12512–13–9
As4S4,realgar,12279–90–2
AuB,Borylgold,
AuBO,gold monoboride monoxide,12588–90–8
AuBr,gold bromide,10294–27–6
AuBr3,gold tribromide,10294–28–7
AuCN,gold cyanide,506–65–0
AuCl,gold chloride,10294–29–8
AuCl3,gold trichloride,13453–07–1
AuF3,gold trifluoride,14720–21–9
AuI,gold iodide,10294–31–2
AuI3,gold(III) iodide,31032–13–0
Au(OH)3,gold hydroxide,1303–52–2
AuTe,gold telluride,37043–71–3
Au2O3,gold trioxide,1303–58–8
Au2S,gold sulfide,1303–60–2
Au2S3,gold trisulfide,1303–61–3
Au2(SeO4)3,gold triselenate,10294–32–3
Au2Se3,gold triselenide,1303–62–4
,,
BAs,boron arsenide,12005–69–5
BBr3,boron tribromide,10294–33–4
BCl3,boron trichloride,10294–34–5
BF3,boron trifluoride,7637–07–2
BH3,borane,13283-31-3
BH4−,borohydride ion,16971-29-2
BH6N,ammonia borane,13774-81-7
BI3,boron triiodide,13517–10–7
BN,boron nitride,10043–11–5
B(NO3)3,boron nitrate,2376148-16-0
B(NO3)4−,tetranitratoborate ion,
B(OH)3,boric acid,10043–35–3
BO33-,orthoborate ion,14213-97-9
BP,boron phosphide,20205–91–8
BPO4,boron phosphate,13308–51–5
B2Cl4,diboron tetrachloride,13701–67–2
B2F4,diboron tetrafluoride,13965–73–6
B2H6,diborane,19287–45–7
B2Mg,magnesium diboride,12007-25-9
B2H2Se3,diboron triselenide,287–91–2
B2O3,diboron trioxide,1303–86–2
B2S3,diboron trisulfide,12007–33–9
B3N3H6,borazine,6569–51–3
B4C,boron carbide,12069–32–8
B4CaO7,colemanite,
B4Na2O7.10H2O,borax,1303-96-4
Ba(AlO2)2,barium aluminate,12004–04–5
Ba(AsO3)2,barium arsenite,125687–68–5
Ba(AsO4)2,barium arsenate,56997–31–0
BaB6,barium hexaboride,12046–08–1
BaBr2,barium bromide,10553–31–8
Ba(BrO)2,barium hypobromite,
Ba(BrO2)2,barium bromite,
Ba(BrO3)2,barium bromate,13967–90–3
Ba(BrO3)2·H2O,barium bromate monohydrate,10326–26–8
Ba(BrO3)2·2H2O,barium bromate dihydrate,
Ba(BrO4)2,barium perbromate,
Ba(BrO4)2·3H2O,barium perbromate trihydrate,115873-17-1
Ba(BrO4)2·4H2O,barium perbromate tetrahydrate,64504-66-1
Ba(CHO2)2,barium formate,541–43–5
Ba(C2H3O2)2,barium acetate,543–81–7
Ba(CN)2,barium cyanide,542–62–1
BaHfO3,barium hafnate,151640–29–8
BaHgI4,barium tetraiodomercurate(II),10048–99–4
Ba(HS)2,barium hydrosulfide,
BaI2,barium iodide,13718–50–8
Ba(IO)2,barium hypoiodite,
Ba(IO2)2,barium iodite,
Ba(IO3)2,barium iodate,10567–69–8
Ba(IO4)2,barium periodate,13718–58–6
BaK2(CrO4)2,barium potassium chromate,27133–66–0
BaMnO4,barium manganate,7787–35–1
Ba(MnO4)2,barium permanganate,7787–36–2
BaMoO4,barium molybdate,7787–37–3
BaN6,barium azide,18810–58–7
Ba(NO2)2,barium nitrite,13465–94–6
Ba(NO3)2,barium nitrate,10022–31–8
Ba(NbO3)2,barium niobate,12009–14–2
BaNb2O6,barium metaniobate,12009–14–2
BaO,barium oxide,1304–28–5
Ba(OH)2,barium hydroxide,17194–00–2
BaO2,barium peroxide,1304–29–6
Ba(PO3)2,barium metaphosphate,13466–20–1
BaS,barium sulfide,21109–95–5
Ba(SCN)2,barium thiocyanate,2092–17–3
BaS2O3,barium thiosulfate,35112–53–9
BaSiF6,barium hexafluorosilicate,17125–80–3
BaSO3,barium sulfite,7787–39–5
BaSO4,barium sulfate barite,7787–43–7
BaSe,barium selenide,1304–39–8
Ba(SeCN)2,barium selenocyanate,
BaSeO3,barium selenite,13718–59–7
BaSeO4,barium selenate,7787–41–9
BaSiO3,barium metasilicate,13255–26–0
BaSi2,barium silicide,1304–40–1
BaSi2O5,barium disilicate,12650–28–1
BaSnO3,barium stannate,12009–18–6
BaTeO3,barium tellurite,58440–17–8
BaTeO4·3H2O,barium tellurate trihydrate,28557–54–2
BaTiO3,barium titanate barium metatitanate,12047–27–7
BaU2O7,barium uranium oxide,10380–31–1
BaWO4,barium tungstate,7787–42–0
BaZrO3,barium zirconate,12009–21–1
Ba2Na(NbO3)5,barium sodium niobate,12323–03–4
Ba2P2O7,barium pyrophosphate,13466–21–2
Ba2V2O7,barium pyrovanadate,
Ba2XeO6,barium perxenate,
Ba3(CrO4)2,barium chromate(V),12345–14–1
Ba3N2,barium nitride,12047–79–9
Ba3(PO4)2,barium orthophosphate,13517–08–3
Ba3(VO4)2,barium orthovandate,39416–30–3
BeB2,beryllium boride,12228–40–9
Be(BH4)2,beryllium borohydride,17440–85–6
BeBr2,beryllium bromide,7787–46–4
Be(CHO2)2,beryllium formate,1111–71–3
BeCO3,beryllium carbonate,13106–47–3
Be(C2H3O2)2,beryllium acetate,543–81–7
Be(C5H7O2)2,beryllium acetylacetonate,10210–64–7
BeCl2,beryllium chloride,7787–47–5
Be(ClO)2,beryllium hypochlorite,
Be(ClO3)2,beryllium chlorate,
Be(ClO4)2,beryllium perchlorate,13597–95–0
BeF2,beryllium fluoride,7787–49–7
BeI2,beryllium iodide,7787–53–3
Be(NO2)2,beryllium nitrite,
Be(NO3)2,beryllium nitrate,7787–55–5
BeO,beryllium oxide bromellite,1304–56–9
Be(OH)2,beryllium hydroxide,13327–32–7
BeS,beryllium sulfide,13598–22–6
BeSO3,beryllium sulfite,
BeSO4,beryllium sulfate,13510–49–1
Be2C,beryllium carbide,506–66–1
Be3Al2(SiO3)6,beryl,1302–52–9
Be3N2,beryllium nitride,1304–54–7
BiBO3,bismuth(III) orthoborate,14059–35–9
BiBr3,bismuth(III) bromide,7787–58–8
Bi(C2H3O2)3,bismuth(III) acetate,22306–37–2
BiC6H5O7,bismuth(III) citrate,813–93–4
BiCl3,bismuth(III) chloride,7787–60–2
BiF3,bismuth(III) fluoride,7787–61–3
BiI3,bismuth(III) iodide,7787–64–6
Bi(NO3)3·5H2O,bismuth(III) nitrate pentahydrate,10035–06–0
BiOCl,bismuth(III) oxychloride,7787–59–9
BiOI,bismuth(III) oxyiodide,7787–63–5
(BiO)2CO3,bismuth oxycarbonate,5892–10–4
BiPO4,bismuth(III) orthophosphate,10049–01–1
Bi(VO3)5,bismuth(III) metavanadate,
Bi2Se3,bismuth(III) selenide bismuth selenide,12068–69–8
Bi2(MoO4)3,bismuth(III) molybdate,13565–96–3
Bi2O3,bismuth(III) oxide,1304–76–3
Bi2S3,bismuth(III) sulfide bismuthinite,1345–07–9
Bi2Se3,bismuth(III) selenide,12068–69–8
BrCl,bromine chloride,13863–41–7
BrCl3,bromine trichloride,12360-50-8
BrCl5,bromine pentachloride,
BrF,bromine monofluoride bromine fluoride,13863-59-7
BrF3,bromine trifluoride,7787–71–5
BrF5,bromine pentafluoride,7789-30-2
BrI,iodine monobromide,7789-33-5
BrO3−,bromate ion,15541–45–4
Br2,bromine,7726–95–6
Br2O5,dibromine pentoxide,58572–43–3
Br3-,tribromide ion,14522-80-6
Br5-,pentabromide ion,28712-15-4
CAgO,carbonylsilver,
CCl2F2,dichlorodifluoromethane freon-12,75–71–8
CCl4,carbon tetrachloride tetrachloromethane,56–23–5
C(CN)4,tetracyanomethane,24331–09–7
CFCl3,trichlorofluoromethane freon-11,75–69–4
CFCl2CF2Cl,chlorotrifluoromethane freon-13,75–72–9
CHCl3,chloroform trichloromethane methyl trichloride,67–66–3
CHClF2,chlorodifluoromethane,75–45–6
CH(CN)3,cyanoform,454–50–2
CHNO,isocyanic acid,
CHN3O6,trinitromethane,517–25–9
CHO2−,formate ion,
CH2,methylene,
CH2Ag,carbene silver,
CH2CHCHCH2,"1,3-butadiene",106–99–0
CH2CO,ketene,463–51–4
CH2CHOH,ethenol,557–75–5
CH2ClCOOH,chloroacetic acid,79–11–8
CH2Cl2,dichloromethane,75–09–2
CH2ClF,chlorofluoromethane,593–70–4
CH2(CN)2,malononitrile,109–77–3
CH2O,formaldehyde,19710–56–6
CH2(OH)2,methanediol,463–57–0
CH2OHCH2OH,ethylene glycol,107–21–1
CH3CCH,propyne,74–99–7
CH3CdCH3,dimethylcadmium,506–82–1
CH3CHCHCH3,2-butene,107–01–7
CH3CHCH2,propene,115–07–1
CH3CHO,acetaldehyde,75–07–0
CH3CH2Br,bromoethane,74–96–4
CH3CH2CH2CH2OH,butan-1-ol,71–36–3
CH3CH2CH2OH,1-propanol propan-1-ol,71–23–8
CH3CH2CONH2,propanamide,79–05–0
CH3CH2COOH,propionic acid,79–09–4
CH3CH2OCH2CH3,diethyl ether ethoxyethane,60–29–7
CH3CH2OH,ethanol,64–17–5
CH3(CH2)16COOH,stearic acid,57–11–4
CH3CN,acetonitrile,75–05–8
CH3COCH3,acetone,67–64–1
CH3COOCH3,methyl acetate,79–20–9
CH3COCl,acetyl chloride,75–36–5
CH3CONH2,acetamide ethanamide,60–35–5
CH3COO−,acetate ion,71–50–1
CH3COOCHCH2,vinyl acetate,108–05–4
CH3COOCH2C6H5,benzyl acetate,140–11–4
CH3COO(CH2)2CH(CH3)2,isoamyl acetate,123–92–2
CH3COOH,acetic acid ethanoic acid,64–19–7
CH3COONa,sodium acetate,127–09–3
CH3COOK,potassium acetate,127–08–2
CH3COORb,rubidium acetate,563–67–7
CH3COOCs,caesium acetate,3396–11–0
(CH3CO)2O,acetic anhydride,108–24–7
CH3Cl,chloromethane methyl chloride,74–87–3
CH3HgCH3,dimethylmercury,593–74–8
CH3I,iodomethane methyl iodide,74–88–4
CH3OCH3,dimethyl ether,115–10–6
CH3NH2,methylamine,74-89-5
CH3NO,oxaziridine,6827-26-5
CH3OCs,caesium methoxide,
CH3OH,methanol,67–56–1
CH3OK,potassium methoxide,865–33–8
CH3OLi,lithium methoxide,865–34–9
CH3ONa,sodium methoxide,124–41–4
CH3ORb,rubidium methoxide,
CH3SCH3,dimethyl sulfide DMS,75–18–3
CH3SH,methanethiol,74–93–1
(CH3)2CHOH,isopropyl alcohol 2-propanol propan-2-ol isopropanol,67–63–0
(CH3)2CO,acetone,67–64–1
(CH3)2C2O4,dimethyl oxalate,553–90–2
(CH3)2NNH2,dimethyl hydrazine,30260–66–3
(CH3)2NH,dimethylamine,124-40-3
(CH3)2S+CH2CH2COO−,dimethylsulfoniopropionate DMSP,7314–30–9
(CH3)3CCl,t-butyl chloride,507–20–0
(CH)3COH,t-butyl alcohol,75–65–0
(CH3)3COOC(CH3)3,di-t-butyl peroxide DTBP,110–05–4
(CH3)3N,trimethylamine,75-50-3
CH4,methane natural gas,74–82–8
CH4N2O2,hydroxycarbamide,127–07–1
CH5N3,Guanidine,113-00-8
CN−,cyanide ion,57–12–5
(CN)2,cyanogen,460–19–5
C(NH2)3NO3,guanidine nitrate,506–93–4
CNO−,cyanate ion,661–20–1
CO,carbon monoxide,630–08–0
COCl2,phosgene,75–44–5
CO2,carbon dioxide,124–38–9
CO3,carbon trioxide,12144–05–7
CO32−,carbonate ion,3812–32–6
CS2,carbon disulfide,75–15–0
C2F4,tetrafluoroethylene,116–14–3
C2H2,acetylene,74–86–2
C2H2O2,glyoxal,107-22-2
C2H3Cl,vinyl chloride,75–01–4
C2H3NO,glycolonitrile,107–16–4
C2H3O2−,acetate ion,71–50–1
C2H4,ethylene,74–85–1
C2H4Cl2,ethylene dichloride,107–06–2
C2H4N4,"3-amino-1,2,4-triazole",61–82–5
C2H4O,ethylene oxide,75-21-8
C2H4O2,acetic acid,64–19–7
C2H5Br,bromoethane,74–96–4
C2H5NH2,ethylamine,75–04–7
C2H5NO2,glycine Gly,56–40–6
C2H5O−,ethoxide ion,
C2H5OH,ethanol ethyl alcohol,64–17–5
(C2H5)2NH,diethylamine,109–89–7
C2H5OCs,caesium ethoxide,
C2H5OK,potassium ethoxide,917–58–8
C2H5ONa,sodium ethoxide,141–52–6
C2H5ORb,rubidium ethoxide,
C2H6,ethane,74–84–0
C2H6OS,dimethyl sulfoxide DMSO,67–68–5
C2H7NO,ethanolamine,141-43-5
C2H7NO2,ammonium acetate,631-61-8
C2H7NO3S,taurine,107–35–7
C2O42−,oxalate ion,
CH3ClO4,Methyl perchlorate,17043-56-0
C3H3Cl3,"1,1,3-Trichloropropene",2567–14–8
C3H3O4−,malonate ion,156–80–9
C3HN,cyanopolyyne,
C3H3N,azete,287-24-1
C3H4,Propadiene,463–49–0
C3H4N2,imidazole,288–32–4
C3H4N2S,aminothiazole,96–50–4
C3H4O3,pyruvic acid,127–17–3
C3H4O4,malonic acid,141–82–2
C3H5NO,acrylamide,79-06-1
C3H5N3,3-amino-1H-pyrazole,1820–80–0
C3H5N3O9,nitroglycerine,55–63–0
C3H6,cyclopropane,75–19–4
C3H6,propylene,115–07–1
C3H6O2,ethyl formate,109-94-4
C3H6O2S,2-Mercaptopropionic acid,79-42-5
C3H6O2S,3-Mercaptopropionic acid,107-96-0
C3H7N,azetidine,503-29-7
C3H7N3,n-Propyl azide,22293-25-0
C3H7NO2,α-alanine,56–41–7
C3H7NO2,β-alanine,107–95–9
C3H7NO2S,cysteine Cys,52–90–4
C3H7NO3,serine Ser,56–45–1
C3H7P,Phosphetane,287-26-3
C3H8,propane,74–98–6
C3H8NO5P,glyphosate,1071-83-6
C3H8O,propanol 1-propanol,71–23–8
C3H8O,2-propanol,67–63–0
C3H8O2,propylene glycol,57-55-6
C3H8O2,"1,3-propanediol",504-63-2
C3H8O3,glycerol,56–81–5
C3H9N3,"1,3,5-triazinane",
C3N3(OH)3,cyanuric acid,108–80–5
C3N12,cyanuric triazide,5637–83–2
C4HCl2FN2,"2,6-dichloro-5-fluoroacil",2927–71–1
C4H2,diacetylene,460-12-8
C4I2,diiodobutadiyne,53214-97-4
C4H2BrClN2,5-bromo-2-chloropyrimidine,32779–36–5
C4H2Cl2N2,"2,4-dichloropyrimidine",3934–20–1
C4H2Cl2N2,"4,6-dichloropyrimidine",1193–21–1
C4H3Cl2N3,"2-amino-4,6-dichloropyrimidine",56–05–3
C4H3FN2O2,fluorouracil,51–21–8
C4H4,vinylacetylene,
C4H4FN3O,flucytosine,2022–85–7
C4H4N2O2,uracil,66–22–8
C4H4N4,diaminomaleonitrile,
C4H4N4,3-aminopyrazole-4-carbonitrile,16617–46–2
C4H4N4,"1,3,5,7-tetrazocine",
C4H4O,furan,110–00–09
C4H5FO2,Methyl 2-fluoroacrylate,2343-89-7
C4H5N3O,cytosine,71–30–7
C4H6N2,fomepizole,
C4H6N2,1-methylimidazole,
C4H6N2,4-methylimidazole,
C4H6N2S,methimazole,60–56–0
C4H6N2S,2-amino-4-methylthiazole,1603–91–4
C4H6N4O,"2,4-diamino-6-hydroxypyrimidine",56–06–4
C4H6O2,"1,4-Butynediol",
C4H6O2,gamma-Butyrolactone,
C4H6O2,crotonic acid,3724–65–0
C4H6O2,diacetyl,
C4H6O2,diepoxybutane,
C4H6O2,"1,4-Dioxene",
C4H6O2,isocrotonic acid,
C4H6O2,methacrylic acid,79–41–4
C4H6O2,methyl acrylate,
C4H6O2,succinaldehyde,
C4H6O2,vinyl acetate,
C4H6O3,propylene carbonate,
C4H6O4,succinic acid,110–15–6
C4H7BrO2,2-bromobutyric acid,80–58–0
C4H7BrO2,4-bromobutyric acid,2623–87–2
C4H7BrO2,α-bromoisobutyric acid,2052–01–9
C4H7BrO2,ethyl bromoacetate,105–36–2
C4H7KO3,potassium oxybate,
C4H7NaO3,sodium oxybate,
(C4H7NO)n,Poly(N-vinylacetamide),Poly(N-vinylacetamide)
C4H7NO2,1-Aminocyclopropanecarboxylic acid,22059–21–8
C4H7NO3,aceturic acid,
C4H7NO4,aspartic acid Asp,56–84–8
C4H8,cyclobutane,287–23–0
C4H8N2O3,asparagine Asn,70–47–3
C4H8O,tetrahydrofuran THF,109–99–9
C4H8O2,ethyl acetate,
C4H8O3,gamma-Hydroxybutyric acid,591-81-1
C4H9ClHg,n-Butylmercuric chloride,543-63-5
C4H9Li,n-butyllithium,
C4H9NO2,γ-aminobutyric acid,56–12–2
C4H9NO3,threonine Thr,72–19–5
C4H9Na,n-Butylsodium,
C4H9OH,butyl alcohol,71–36–3
C4H10,butane,106–97–8
C4H10,2-methylpropane,75–28–5
C4H10O,diethyl ether,60–29–7
C4H10O2,"1,2-Butanediol",
C4H10O2,"1,3-Butanediol",
C4H10O2,"1,4-Butanediol",
C4H10O2,"2,3-Butanediol",
C4H10O2,tert-Butyl hydroperoxide,
C4H10O2,Dimethoxyethane,
C4H10O2,2-Ethoxyethanol,
C4H10O2,1-Methoxy-2-propanol,
C4H10O3,diethylene glycol,111–46–6
C4H11NO2,diethanolamine,111–42–2
C5H3BrN2O2,2-bromo-5-nitropyridine,4487–59–6
C5H3Br2N,"3,5-dibromopyridine",625–92–3
C5H3ClN2O2,2-chloro-5-nitropyridine,4585–45–2
C5H3ClN4,6-chloropurine,87–42–3
C5H4NCOOH,niacin,59–67–6
C5H4N2O2,pyrazinoic acid,98–97–5
C5H4N2O4,orotic acid,65–86–1
C5H4N4O,allopurinol,315–30–0
C5H4N4O,hypoxanthine,68–94–0
C5H4N4O2,xanthine,69–89–6
C5H4N4S,mercaptopurine,50–44–2
C5H4O,cyclopentadienone,
C5H4O2,furfural,
C5H4O2S,b-thiophenic acid,88–13–1
C5H5−,cyclopentadienyl anion,
C5H5BrN2,2-amino-5-bromopyridine,1072–97–5
C5H5ClN2,2-amino-4-chloropyridine,19798–80–2
C5H5ClN2,2-amino-5-chloropyridine,1072–98–6
C5H5ClN2,4-amino-2-chloropyridine,14432–12–3
C5H5IN2,2-amino-5-iodopyridine,20511–12–0
C5H5N,pyridine,110–86–1
C5H5NO,2-pyridone,142–08–5
C5H5NO,3-pyridinol,109–00–2
C5H5N3O,pyrazinamide,98–96–4
C5H5N3O2,2-amino-nitropyridine,4214–76–0
C5H5N5,adenine,73–24–5
C5H5N5O,guanine,73–40–5
C5H6BNO2,3-pyridinylboronic acid,1692–25–7
C5H6N2,"1,2-diazepine",
C5H6N2,"1,3-diazepine",
C5H6N2,"1,4-diazepine",
C5H6N2,1-vinylimidazole,
C5H6N2,2-aminopyridine,504–29–0
C5H6N2,3-aminopyridine,
C5H6N2,4-aminopyridine,504–24–5
C5H6N2,glutaronitrile,
C5H6N2OS,methylthiouracil,56–04–2
C5H6N2O2,thymine,65–71–4
C5H6O,cyclopentenone,
C5H6O5,α-Ketoglutaric acid,328–50–7
C5H7N3,"3,4-diaminopyridine",54–96–6
C5H8O2,gamma-Valerolactone,
C5H9NO,3-Dimethylaminoacrolein,927-63-9
C5H9NO2,allylglycine,
C5H9NO2,proline Pro,147–85–3
C5H9NO4,glutamic acid Glu,56–86–0
C5H10,cyclopentane,287–92–3
C5H10N2O3,glutamine Gln,56–85–9
C5H10O2,pivalic acid,
C5H10O2,valeric acid,
C5H10O2,3-Methylbutanoic acid,
C5H10O4,deoxyribose,533–67–5
C5H11NO2,valine Val,660–88–8
C5H11NO2S,methionine Met,25343–91–3
C5H12,pentane,109–66–0
C5H12O2,neopentyl glycol,101-38-2
C5H12O4,pentaerythritol,115–77–5
C5H12O5,xylitol,87–99–0
C5H13N,"N,N-diethylmethylamine",616-39-7
C6F5COOH,pentafluorobenzoic acid,602–94–8
C6H2Cl3NO,"2,6-Dichloroquinone-4-chloroimideGibbs reagent",
C6H3Br3O,"2,4,6-Tribromophenol",
C6H3Cl3O,"2,4,6-Trichlorophenol",
C6H4BrNO2,5-bromonicotinic acid,20826–04–4
C6H4ClNO2,2-chloronicotinic acid,2942–59–8
C6H4ClN3,4-Chlorophenyl azide,
C6H4ClNO2,6-chloro-2-pyridinecarboxylic acid,4684–94–0
C6H4ClNO2,6-chloronicotinic acid,5326–23–8
C6H4N4,tricyanoaminopropene,
C6H4O2,orthobenzoquinone,583–63–1
C6H4O2,parabenzoquinone quinone,106–51–4
C6H5Br,bromobenzene,108–86–1
C6H5CHO,benzaldehyde,100–52–7
C6H5CH2OH,benzyl alcohol,100–51–6
C6H5Cl,chlorobenzene,108–90–7
C6H5COCl,benzoyl chloride,98–88–4
C6H5COO−,benzoate ion,766–76–7
C6H5COOH,benzoic acid,65–85–0
C6H5F,fluorobenzene,462–06–6
C6H5I,iodobenzene,591–50–4
C6H5NO2,picolinic acid,98–98–6
C6H5NO3,4-nitrophenol,100–02–7
C6H5NO3,6-hydroxyniacin,5006–66–6
C6H5OH,phenol,108–95–2
C6H5O73−,citrate ion,126–44–3
C6H5NO4,Citrazinic acid,99-11-6
(C6H5)4Ge,tetraphenylgermane,1048–05–1
(C6H5)2O,diphenyl ether,101–84–8
(C6H5)3N,triphenylamine,603–34–9
(C6H5)3P,triphenylphosphine,603–35–0
C6H6,benzene,71–43–2
C6H6BClO2,4-chlorophenylboronic acid,1679–18–1
C6H6BFO2,4-fluorophenylboronic acid,1765–93–1
C6H6ClN,2-Chloromethylpyridine,4377-33-7
C6H6IN,4-iodoaniline,540–37–4
C6H6N2O,nicotinamide,98–92–0
C6H6N2O2,6-aminonicotinic acid,3167–49–5
C6H6N4,"2,2′,2″-Nitrilotriacetonitrile",7327-60-8
C6H6O,phenol,108–95–2
